"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 09, 2021","2,936.10","3,021.70","3,093.80","2,907.40","3.49K","-2.72%"
"Sep 08, 2021","3,018.20","3,053.90","3,131.00","2,812.00","4.51K","-0.59%"
"Sep 07, 2021","3,036.00","3,619.70","3,623.70","2,775.70","6.72K","-16.13%"
"Sep 06, 2021","3,620.00","3,718.60","3,721.40","3,552.80","2.94K","-2.67%"
"Sep 05, 2021","3,719.30","3,547.70","3,720.50","3,525.30","2.25K","4.79%"
"Sep 04, 2021","3,549.20","3,655.60","3,719.80","3,539.20","1.97K","-2.71%"
"Sep 03, 2021","3,648.00","3,547.70","3,747.40","3,477.60","3.18K","2.74%"
"Sep 02, 2021","3,550.60","3,694.20","3,699.30","3,549.60","1.55K","-3.81%"
"Sep 01, 2021","3,691.30","3,524.70","3,699.70","3,422.40","2.56K","4.77%"
"Aug 31, 2021","3,523.10","3,360.50","3,568.60","3,312.10","3.02K","4.89%"
"Aug 30, 2021","3,359.00","3,454.80","3,508.10","3,306.90","2.34K","-2.72%"
"Aug 29, 2021","3,453.00","3,603.90","3,677.40","3,385.00","3.11K","-4.20%"
"Aug 28, 2021","3,604.20","3,749.50","3,778.40","3,582.00","1.97K","-3.86%"
"Aug 27, 2021","3,749.00","3,588.80","3,790.20","3,544.40","1.83K","4.65%"
"Aug 26, 2021","3,582.40","3,701.40","3,744.20","3,442.10","1.84K","-3.22%"
"Aug 25, 2021","3,701.60","3,630.40","3,750.30","3,494.90","1.73K","2.01%"
"Aug 24, 2021","3,628.60","3,877.10","3,902.70","3,594.50","2.12K","-6.40%"
"Aug 23, 2021","3,876.80","3,806.20","4,011.00","3,794.70","2.06K","1.92%"
"Aug 22, 2021","3,803.60","3,868.60","3,886.80","3,695.90","1.29K","-1.62%"
"Aug 21, 2021","3,866.20","3,813.70","3,979.20","3,698.70","3.89K","1.34%"
"Aug 20, 2021","3,815.00","3,746.50","3,858.40","3,701.30","1.95K","1.83%"
"Aug 19, 2021","3,746.60","3,507.70","3,749.80","3,445.10","2.01K","6.58%"
"Aug 18, 2021","3,515.30","3,449.90","3,638.20","3,371.30","2.05K","1.86%"
"Aug 17, 2021","3,451.00","3,575.50","3,779.60","3,432.80","2.38K","-3.48%"
"Aug 16, 2021","3,575.40","3,801.40","3,888.10","3,564.00","2.45K","-5.97%"
"Aug 15, 2021","3,802.50","3,869.70","3,882.20","3,619.40","2.23K","-1.72%"
"Aug 14, 2021","3,868.90","3,712.40","3,910.90","3,558.50","3.44K","4.20%"
"Aug 13, 2021","3,712.90","3,252.70","3,714.10","3,235.30","3.34K","14.13%"
"Aug 12, 2021","3,253.30","3,365.10","3,422.50","3,164.90","2.96K","-3.46%"
"Aug 11, 2021","3,369.80","3,392.50","3,528.30","3,336.70","2.37K","-0.75%"
"Aug 10, 2021","3,395.40","3,360.90","3,463.00","3,264.60","2.74K","0.94%"
"Aug 09, 2021","3,363.90","3,231.00","3,380.60","3,081.70","1.83K","4.08%"
"Aug 08, 2021","3,232.00","3,411.70","3,449.30","3,147.90","1.72K","-5.17%"
"Aug 07, 2021","3,408.20","3,257.50","3,476.00","3,225.60","2.85K","4.80%"
"Aug 06, 2021","3,252.20","3,292.60","3,372.30","3,111.80","3.41K","-1.09%"
"Aug 05, 2021","3,288.20","2,967.30","3,289.30","2,792.30","4.70K","10.78%"
"Aug 04, 2021","2,968.30","2,789.00","2,996.40","2,744.00","2.31K","6.49%"
"Aug 03, 2021","2,787.50","2,915.40","2,948.60","2,738.50","1.43K","-4.40%"
"Aug 02, 2021","2,915.70","2,890.90","3,029.20","2,839.50","1.62K","1.01%"
"Aug 01, 2021","2,886.60","2,978.70","3,089.30","2,886.60","1.60K","-2.86%"
