"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 19, 2021","7.4670","7.8130","7.9000","7.4670","2.54M","-4.36%"
"Jun 18, 2021","7.8070","8.4680","8.4680","7.6950","3.57M","-7.73%"
"Jun 17, 2021","8.4610","8.4970","9.0030","8.2780","3.42M","-0.25%"
"Jun 16, 2021","8.4820","9.1070","9.1070","8.3900","4.38M","-6.88%"
"Jun 15, 2021","9.1090","9.2690","9.4720","9.0570","3.76M","-1.55%"
"Jun 14, 2021","9.2520","8.6560","9.2520","8.5660","4.81M","7.07%"
"Jun 13, 2021","8.6410","7.8390","8.7610","7.8390","4.22M","10.30%"
"Jun 12, 2021","7.8340","8.5380","8.5380","7.8340","4.84M","-8.50%"
"Jun 11, 2021","8.5620","9.4200","9.4350","8.4000","3.50M","-8.85%"
"Jun 10, 2021","9.3930","10.5350","10.5350","9.3930","3.72M","-10.88%"
"Jun 09, 2021","10.5400","10.0630","10.5400","9.6400","5.65M","4.51%"
"Jun 08, 2021","10.0850","10.2750","10.4520","9.4550","6.69M","-1.64%"
"Jun 07, 2021","10.2530","11.5410","11.7220","10.2530","4.07M","-11.16%"
"Jun 06, 2021","11.5410","11.5480","11.8090","11.4790","2.30M","-0.35%"
"Jun 05, 2021","11.5820","11.8860","12.4020","11.3730","5.14M","-2.20%"
"Jun 04, 2021","11.8430","13.1880","13.1900","11.6340","4.71M","-10.44%"
"Jun 03, 2021","13.2240","12.5140","13.4650","12.4100","4.04M","5.44%"
"Jun 02, 2021","12.5420","12.0850","12.8470","11.8200","4.94M","4.15%"
"Jun 01, 2021","12.0420","12.3990","12.5990","11.5460","5.00M","-3.87%"
