"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 08, 2021","1.7586","1.9388","1.9493","1.7279","5.94M","-9.49%"
"Jul 07, 2021","1.9430","1.9639","2.0950","1.9307","5.09M","-1.56%"
"Jul 06, 2021","1.9737","1.7981","2.0576","1.7981","7.59M","9.75%"
"Jul 05, 2021","1.7984","1.8386","1.8386","1.7427","4.45M","-2.25%"
"Jul 04, 2021","1.8398","1.8305","1.8895","1.8027","4.49M","3.64%"
"Jul 03, 2021","1.7752","1.6618","1.7851","1.6365","3.59M","6.93%"
"Jul 02, 2021","1.6601","1.6903","1.7193","1.6026","3.75M","-2.28%"
"Jul 01, 2021","1.6989","1.8152","1.8152","1.6761","4.70M","-6.42%"
"Jun 30, 2021","1.8155","1.7928","1.8289","1.7074","5.95M","1.23%"
"Jun 29, 2021","1.7935","1.6187","1.8317","1.6187","8.03M","11.40%"
"Jun 28, 2021","1.6099","1.5883","1.6580","1.5615","4.89M","1.53%"
"Jun 27, 2021","1.5857","1.4885","1.5857","1.4662","5.67M","6.51%"
"Jun 26, 2021","1.4888","1.4397","1.4889","1.3845","9.10M","3.10%"
"Jun 25, 2021","1.4441","1.6861","1.7201","1.4441","10.20M","-14.07%"
"Jun 24, 2021","1.6805","1.5055","1.6817","1.4531","7.41M","11.64%"
"Jun 23, 2021","1.5053","1.4014","1.5545","1.4014","11.04M","7.46%"
"Jun 22, 2021","1.4008","1.4466","1.5584","1.2490","15.18M","-3.49%"
"Jun 21, 2021","1.4515","1.9271","1.9271","1.4515","13.00M","-24.46%"
"Jun 20, 2021","1.9215","1.8532","1.9348","1.8139","7.79M","3.46%"
"Jun 19, 2021","1.8573","1.9201","1.9420","1.8573","5.97M","-3.56%"
"Jun 18, 2021","1.9259","2.0926","2.1028","1.8908","7.76M","-8.08%"
"Jun 17, 2021","2.0952","2.0726","2.1554","2.0312","4.85M","1.33%"
"Jun 16, 2021","2.0676","2.2394","2.2394","2.0561","6.43M","-7.73%"
"Jun 15, 2021","2.2407","2.2705","2.3479","2.2247","6.95M","-1.72%"
"Jun 14, 2021","2.2799","2.2048","2.2799","2.1725","7.06M","3.39%"
"Jun 13, 2021","2.2052","2.0874","2.2066","2.0815","5.58M","6.11%"
"Jun 12, 2021","2.0782","2.1640","2.2386","2.0415","8.69M","-3.46%"
"Jun 11, 2021","2.1527","2.2646","2.2984","2.0915","9.58M","-4.70%"
"Jun 10, 2021","2.2588","2.5240","2.5240","2.2588","8.77M","-10.42%"
"Jun 09, 2021","2.5216","2.3153","2.5216","2.2423","14.66M","8.76%"
"Jun 08, 2021","2.3186","2.1506","2.3381","2.0825","13.39M","7.79%"
"Jun 07, 2021","2.1510","2.4586","2.5390","2.1510","10.54M","-12.44%"
"Jun 06, 2021","2.4567","2.5250","2.5792","2.4193","8.97M","-2.87%"
"Jun 05, 2021","2.5292","2.6875","2.8463","2.4820","15.50M","-6.14%"
