,Date,Price,Open,High,Low,Vol.,Change %,Vol
219,"Aug 25, 2021",3701.60,"3,630.40","3,750.30","3,494.90",,2.01%,1.73K
220,"Aug 24, 2021",3628.60,"3,877.10","3,902.70","3,594.50",,-6.40%,2.12K
221,"Aug 23, 2021",3876.80,"3,806.20","4,011.00","3,794.70",,1.92%,2.06K
222,"Aug 22, 2021",3803.60,"3,868.60","3,886.80","3,695.90",,-1.62%,1.29K
223,"Aug 21, 2021",3866.20,"3,813.70","3,979.20","3,698.70",,1.34%,3.89K
224,"Aug 20, 2021",3815.00,"3,746.50","3,858.40","3,701.30",,1.83%,1.95K
225,"Aug 19, 2021",3746.60,"3,507.70","3,749.80","3,445.10",,6.58%,2.01K
226,"Aug 18, 2021",3515.30,"3,449.90","3,638.20","3,371.30",,1.86%,2.05K
227,"Aug 17, 2021",3451.00,"3,575.50","3,779.60","3,432.80",,-3.48%,2.38K
228,"Aug 16, 2021",3575.40,"3,801.40","3,888.10","3,564.00",,-5.97%,2.45K
229,"Aug 15, 2021",3802.50,"3,869.70","3,882.20","3,619.40",,-1.72%,2.23K
230,"Aug 14, 2021",3868.90,"3,712.40","3,910.90","3,558.50",,4.20%,3.44K
231,"Aug 13, 2021",3712.90,"3,252.70","3,714.10","3,235.30",,14.13%,3.34K
232,"Aug 12, 2021",3253.30,"3,365.10","3,422.50","3,164.90",,-3.46%,2.96K
233,"Aug 11, 2021",3369.80,"3,392.50","3,528.30","3,336.70",,-0.75%,2.37K
234,"Aug 10, 2021",3395.40,"3,360.90","3,463.00","3,264.60",,0.94%,2.74K
235,"Aug 09, 2021",3363.90,"3,231.00","3,380.60","3,081.70",,4.08%,1.83K
236,"Aug 08, 2021",3232.00,"3,411.70","3,449.30","3,147.90",,-5.17%,1.72K
237,"Aug 07, 2021",3408.20,"3,257.50","3,476.00","3,225.60",,4.80%,2.85K
238,"Aug 06, 2021",3252.20,"3,292.60","3,372.30","3,111.80",,-1.09%,3.41K
239,"Aug 05, 2021",3288.20,"2,967.30","3,289.30","2,792.30",,10.78%,4.70K
240,"Aug 04, 2021",2968.30,"2,789.00","2,996.40","2,744.00",,6.49%,2.31K
241,"Aug 03, 2021",2787.50,"2,915.40","2,948.60","2,738.50",,-4.40%,1.43K
242,"Aug 02, 2021",2915.70,"2,890.90","3,029.20","2,839.50",,1.01%,1.62K
243,"Aug 01, 2021",2886.60,"2,978.70","3,089.30","2,886.60",,-2.86%,1.60K
244,"Jul 31, 2021",2971.70,"2,912.20","3,011.70","2,859.30",,2.00%,1.42K
245,"Jul 30, 2021",2913.30,"2,898.70","2,942.80","2,767.40",,0.49%,1.85K
246,"Jul 29, 2021",2899.10,"2,656.60","2,899.10","2,606.70",,9.25%,2.27K
247,"Jul 28, 2021",2653.60,"2,690.70","2,725.20","2,614.80",,-1.36%,1.49K
248,"Jul 27, 2021",2690.10,"2,592.90","2,723.80","2,506.50",,3.70%,1.72K
249,"Jul 26, 2021",2594.00,"2,568.10","2,842.70","2,550.00",,0.92%,3.78K
250,"Jul 25, 2021",2570.40,"2,494.70","2,593.80","2,460.30",,1.09%,1.51K
251,"Jul 24, 2021",2542.70,"2,519.50","2,555.60","2,494.90",,1.21%,1.87K
252,"Jul 23, 2021",2512.30,"2,438.00","2,535.10","2,400.80",,3.04%,2.17K
253,"Jul 22, 2021",2438.10,"2,441.90","2,474.70","2,382.30",,-0.01%,1.95K
254,"Jul 21, 2021",2438.40,"2,186.40","2,482.30","2,151.10",,11.52%,2.96K
