,Date,Price,Open,High,Low,Vol.,Change %,Vol
207,"Sep 07, 2021",24.2000,28.8500,29.3200,21.0900,,-16.06%,8.62M
208,"Sep 06, 2021",28.8300,29.3600,30.2600,28.4600,,-1.77%,3.80M
209,"Sep 05, 2021",29.3500,28.5900,29.4800,28.3400,,2.77%,1.84M
210,"Sep 04, 2021",28.5600,28.6400,29.4400,28.2400,,-0.24%,2.17M
211,"Sep 03, 2021",28.6300,29.9200,31.1900,28.3700,,-4.38%,6.21M
212,"Sep 02, 2021",29.9400,31.3200,31.3800,29.5500,,-4.44%,2.05M
213,"Sep 01, 2021",31.3300,29.3800,31.3600,28.7200,,6.56%,4.81M
214,"Aug 31, 2021",29.4000,26.8400,29.7000,26.2800,,9.66%,4.33M
215,"Aug 30, 2021",26.8100,26.7800,28.1800,25.5900,,0.11%,2.44M
216,"Aug 29, 2021",26.7800,26.8400,27.6600,26.1800,,-0.07%,1.55M
217,"Aug 28, 2021",26.8000,27.4300,27.5900,26.6400,,-2.23%,1.12M
218,"Aug 27, 2021",27.4100,25.5100,27.4600,25.0300,,7.45%,1.90M
219,"Aug 26, 2021",25.5100,27.0490,27.6280,25.1500,,-5.69%,1.86M
220,"Aug 25, 2021",27.0490,26.6100,27.4410,25.7120,,1.56%,1.87M
221,"Aug 24, 2021",26.6340,28.7950,29.2090,26.5380,,-7.44%,2.15M
222,"Aug 23, 2021",28.7750,28.4000,29.6170,28.3770,,1.29%,2.29M
223,"Aug 22, 2021",28.4090,28.2280,29.1620,27.2250,,0.62%,1.95M
224,"Aug 21, 2021",28.2350,28.8860,29.7230,28.2080,,-2.25%,2.36M
225,"Aug 20, 2021",28.8860,27.9790,29.1660,27.5540,,3.30%,2.62M
226,"Aug 19, 2021",27.9620,26.3290,27.9810,25.3410,,6.32%,2.84M
227,"Aug 18, 2021",26.2990,26.3840,27.3370,25.4910,,-0.42%,3.78M
228,"Aug 17, 2021",26.4090,29.0770,30.8010,25.9080,,-9.23%,3.57M
229,"Aug 16, 2021",29.0950,30.2790,31.2430,29.0000,,-3.83%,2.82M
230,"Aug 15, 2021",30.2530,30.1240,30.4200,28.3010,,0.45%,2.28M
231,"Aug 14, 2021",30.1180,30.5140,30.6470,28.7400,,-1.44%,2.36M
232,"Aug 13, 2021",30.5570,28.1000,30.6040,27.8530,,8.90%,2.44M
233,"Aug 12, 2021",28.0590,28.9350,29.8800,26.8690,,-3.24%,2.80M
234,"Aug 11, 2021",28.9990,28.7680,30.4000,28.7360,,0.85%,2.86M
235,"Aug 10, 2021",28.7550,28.3500,30.1810,28.1820,,1.36%,3.85M
236,"Aug 09, 2021",28.3680,26.6880,28.7410,25.3920,,6.21%,2.97M
237,"Aug 08, 2021",26.7090,28.3170,28.6900,25.9720,,-5.65%,2.48M
238,"Aug 07, 2021",28.3090,26.1780,28.9820,25.8080,,8.26%,4.01M
239,"Aug 06, 2021",26.1480,25.4390,26.8550,24.5430,,2.80%,2.83M
240,"Aug 05, 2021",25.4350,23.5470,25.5430,22.0780,,8.08%,3.89M
241,"Aug 04, 2021",23.5330,21.3210,23.7140,20.7910,,10.35%,2.98M
242,"Aug 03, 2021",21.3260,22.3710,22.7190,20.6800,,-4.72%,3.06M
243,"Aug 02, 2021",22.3820,21.9830,23.0900,21.4340,,1.70%,2.70M
244,"Aug 01, 2021",22.0070,21.7460,23.1950,21.5700,,1.20%,3.36M
245,"Jul 31, 2021",21.7460,20.9440,21.9510,20.7130,,4.01%,2.67M
246,"Jul 30, 2021",20.9080,19.6120,21.0160,19.3870,,6.78%,3.59M
247,"Jul 29, 2021",19.5800,19.0580,19.7150,18.6330,,2.99%,1.87M
248,"Jul 28, 2021",19.0120,18.8940,19.4400,18.5410,,0.62%,2.17M
249,"Jul 27, 2021",18.8940,18.5080,19.2400,17.7350,,1.98%,2.48M
250,"Jul 26, 2021",18.5270,18.2720,20.2630,18.1810,,1.41%,4.35M
251,"Jul 25, 2021",18.2700,17.8860,18.2710,17.2630,,-1.05%,1.82M
252,"Jul 24, 2021",18.4630,18.6090,18.9240,18.2780,,-0.70%,2.69M
253,"Jul 23, 2021",18.5940,17.5800,18.6860,16.9760,,5.78%,2.56M
254,"Jul 22, 2021",17.5780,16.7230,17.5980,16.1110,,5.30%,2.96M
255,"Jul 21, 2021",16.6940,14.5460,16.8650,14.0550,,14.70%,3.69M
256,"Jul 20, 2021",14.5540,15.6980,15.9480,14.4370,,-7.37%,3.28M
257,"Jul 19, 2021",15.7120,16.2640,16.7550,15.4320,,-3.68%,3.00M
258,"Jul 18, 2021",16.3120,16.0870,17.1540,16.0440,,1.33%,2.65M
259,"Jul 17, 2021",16.0980,16.3440,16.7380,15.9440,,-1.49%,2.24M
260,"Jul 16, 2021",16.3420,17.0580,17.5930,15.9310,,-4.30%,2.51M
261,"Jul 15, 2021",17.0770,17.8800,18.3710,16.8110,,-4.55%,3.28M
262,"Jul 14, 2021",17.8910,18.4670,18.5290,16.8030,,-3.01%,4.78M
263,"Jul 13, 2021",18.4460,19.5330,19.7010,18.1910,,-5.77%,2.36M
264,"Jul 12, 2021",19.5760,20.7030,21.4090,19.2270,,-5.29%,1.84M
265,"Jul 11, 2021",20.6690,20.2510,20.9100,19.9840,,2.05%,1.32M
266,"Jul 10, 2021",20.2540,20.9720,21.5050,19.9500,,-3.44%,1.41M
267,"Jul 09, 2021",20.9760,19.9980,21.5610,19.8700,,2.61%,2.53M
268,"Jul 08, 2021",20.4420,22.2000,22.3060,20.0000,,-8.16%,3.14M
269,"Jul 07, 2021",22.2590,22.3720,23.2150,22.1430,,-0.17%,3.09M
270,"Jul 06, 2021",22.2970,20.0720,22.6840,20.0720,,11.09%,5.35M
271,"Jul 05, 2021",20.0720,20.7370,20.7370,19.3570,,-3.37%,3.73M
272,"Jul 04, 2021",20.7730,20.7890,21.3810,20.6540,,9.14%,3.40M
273,"Jul 03, 2021",19.0330,18.2130,19.0710,17.9150,,4.44%,1.67M
274,"Jul 02, 2021",18.2240,17.7820,18.2240,16.9830,,2.24%,1.67M
275,"Jul 01, 2021",17.8240,19.2760,19.2760,17.8240,,-7.45%,2.16M
276,"Jun 30, 2021",19.2580,18.6400,19.2580,17.4260,,3.89%,2.60M
277,"Jun 29, 2021",18.5370,17.7640,19.0980,17.7640,,4.79%,2.73M
278,"Jun 28, 2021",17.6900,17.0970,18.0660,16.9720,,3.62%,2.12M
279,"Jun 27, 2021",17.0720,16.1350,17.0720,15.7670,,5.95%,1.85M
280,"Jun 26, 2021",16.1130,15.8220,16.2620,15.2680,,1.47%,2.11M
281,"Jun 25, 2021",15.8800,18.0880,18.2230,15.8040,,-12.03%,3.19M
282,"Jun 24, 2021",18.0510,17.7980,18.3970,16.7570,,1.41%,2.84M
283,"Jun 23, 2021",17.8000,16.3840,18.1580,16.3840,,8.76%,3.80M
284,"Jun 22, 2021",16.3660,15.8090,16.8830,14.6330,,3.12%,6.57M
285,"Jun 21, 2021",15.8710,20.7490,20.7490,15.8710,,-23.35%,4.73M
286,"Jun 20, 2021",20.7050,19.7770,20.8560,19.0850,,4.66%,2.41M
