,Date,Price,Open,High,Low,Vol.,Change %,Vol
154,"Oct 30, 2021",318.60,328.70,329.00,312.00,,-2.78%,49.92K
155,"Oct 29, 2021",327.70,312.10,332.10,311.50,,4.86%,80.52K
156,"Oct 28, 2021",312.50,302.60,319.10,301.10,,3.37%,75.29K
157,"Oct 27, 2021",302.30,342.70,352.50,294.10,,-11.61%,171.11K
158,"Oct 26, 2021",342.00,322.40,359.30,321.30,,6.05%,193.47K
159,"Oct 25, 2021",322.50,308.60,322.80,306.30,,4.57%,54.25K
160,"Oct 24, 2021",308.40,311.80,316.90,301.20,,-1.06%,64.39K
161,"Oct 23, 2021",311.70,315.80,317.90,306.90,,-1.20%,69.12K
162,"Oct 22, 2021",315.50,316.00,328.20,312.30,,0.03%,48.53K
163,"Oct 21, 2021",315.40,323.30,335.10,311.10,,-2.38%,83.07K
164,"Oct 20, 2021",323.10,306.30,329.20,304.00,,5.35%,69.87K
165,"Oct 19, 2021",306.70,305.30,309.90,301.00,,0.46%,44.43K
166,"Oct 18, 2021",305.30,311.00,313.60,299.00,,-1.71%,53.76K
167,"Oct 17, 2021",310.60,316.90,323.10,300.40,,-1.77%,48.43K
168,"Oct 16, 2021",316.20,316.60,330.40,313.40,,-0.22%,59.12K
169,"Oct 15, 2021",316.90,314.50,324.80,300.30,,0.51%,72.13K
170,"Oct 14, 2021",315.30,304.00,322.00,304.00,,3.68%,52.46K
171,"Oct 13, 2021",304.10,306.60,309.30,295.20,,-0.75%,50.96K
172,"Oct 12, 2021",306.40,302.10,309.60,287.50,,1.22%,55.11K
173,"Oct 11, 2021",302.70,303.20,318.60,295.30,,-0.26%,46.62K
174,"Oct 10, 2021",303.50,330.80,331.40,302.30,,-8.17%,49.04K
175,"Oct 09, 2021",330.50,313.70,334.60,310.20,,5.59%,69.88K
176,"Oct 08, 2021",313.00,316.80,335.30,310.50,,-1.14%,103.67K
177,"Oct 07, 2021",316.60,306.10,325.30,296.80,,3.46%,106.41K
178,"Oct 06, 2021",306.00,309.80,314.00,287.60,,-1.23%,105.66K
179,"Oct 05, 2021",309.80,313.10,322.20,302.80,,-0.99%,123.90K
180,"Oct 04, 2021",312.90,326.40,326.60,309.20,,-4.14%,93.57K
181,"Oct 03, 2021",326.40,337.60,345.90,321.40,,-3.26%,95.50K
182,"Oct 02, 2021",337.40,326.50,350.20,318.00,,3.37%,91.21K
183,"Oct 01, 2021",326.40,317.90,329.60,309.10,,2.10%,90.42K
184,"Sep 30, 2021",319.70,307.20,319.70,287.00,,4.27%,193.41K
185,"Sep 29, 2021",306.60,319.40,337.80,280.90,,-4.16%,86.18K
186,"Sep 28, 2021",319.90,338.00,342.70,318.90,,-5.30%,28.83K
187,"Sep 27, 2021",337.80,354.50,375.10,337.80,,-4.55%,43.60K
188,"Sep 26, 2021",353.90,331.20,357.80,309.90,,6.85%,58.47K
189,"Sep 25, 2021",331.20,340.70,346.60,327.50,,-3.02%,32.14K
190,"Sep 24, 2021",341.50,373.60,375.70,317.20,,-8.69%,68.22K
191,"Sep 23, 2021",374.00,347.40,375.00,337.30,,7.66%,44.52K
192,"Sep 22, 2021",347.40,312.60,348.30,306.20,,11.45%,60.81K
193,"Sep 21, 2021",311.70,338.10,350.00,303.10,,-7.78%,69.32K
194,"Sep 20, 2021",338.00,393.40,393.70,332.10,,-13.97%,57.84K
195,"Sep 19, 2021",392.90,401.40,402.50,384.10,,-2.09%,16.39K
196,"Sep 18, 2021",401.30,400.20,416.00,392.50,,0.30%,27.87K
197,"Sep 17, 2021",400.10,422.30,428.30,393.00,,-5.26%,54.84K
198,"Sep 16, 2021",422.30,443.30,459.20,412.60,,-4.54%,56.67K
199,"Sep 15, 2021",442.40,447.00,450.40,418.90,,-0.98%,62.47K
200,"Sep 14, 2021",446.80,385.20,446.90,378.00,,16.02%,78.18K
201,"Sep 13, 2021",385.10,403.40,407.30,360.90,,-4.44%,37.41K
202,"Sep 12, 2021",403.00,397.30,413.60,387.60,,1.49%,26.38K
203,"Sep 11, 2021",397.10,392.20,408.40,388.90,,1.59%,23.53K
204,"Sep 10, 2021",390.90,411.40,426.60,383.80,,-4.94%,30.66K
205,"Sep 09, 2021",411.20,409.50,428.20,398.20,,0.61%,37.13K
206,"Sep 08, 2021",408.70,415.80,423.50,380.40,,-0.99%,70.88K
207,"Sep 07, 2021",412.80,509.70,510.30,357.10,,-18.96%,178.30K
208,"Sep 06, 2021",509.40,510.90,528.40,476.20,,-0.35%,92.23K
209,"Sep 05, 2021",511.20,472.50,525.00,468.00,,8.54%,121.29K
210,"Sep 04, 2021",471.00,466.60,482.60,462.10,,0.94%,43.98K
211,"Sep 03, 2021",466.60,462.20,480.40,455.90,,0.89%,58.45K
212,"Sep 02, 2021",462.50,477.90,482.70,457.90,,-3.40%,65.99K
213,"Sep 01, 2021",478.80,442.00,484.70,434.30,,8.35%,86.93K
214,"Aug 31, 2021",441.90,419.80,447.40,411.60,,5.34%,94.34K
215,"Aug 30, 2021",419.50,418.50,453.20,405.50,,0.29%,93.44K
216,"Aug 29, 2021",418.30,414.00,427.20,399.80,,1.16%,39.73K
217,"Aug 28, 2021",413.50,421.20,426.20,410.20,,-1.78%,28.51K
218,"Aug 27, 2021",421.00,405.00,425.40,390.40,,3.95%,47.71K
219,"Aug 26, 2021",405.00,435.64,438.92,401.00,,-7.00%,37.19K
220,"Aug 25, 2021",435.49,423.13,437.95,412.01,,2.91%,43.04K
221,"Aug 24, 2021",423.16,465.41,469.94,414.45,,-9.07%,85.97K
222,"Aug 23, 2021",465.38,459.89,484.01,456.10,,1.17%,115.32K
223,"Aug 22, 2021",460.00,462.36,482.70,446.45,,-0.58%,60.66K
224,"Aug 21, 2021",462.69,480.11,483.79,456.08,,-3.59%,69.31K
225,"Aug 20, 2021",479.94,459.18,492.70,452.09,,4.78%,74.41K
226,"Aug 19, 2021",458.04,436.46,458.13,419.60,,5.12%,56.05K
227,"Aug 18, 2021",435.71,446.59,459.59,421.39,,-2.59%,86.11K
228,"Aug 17, 2021",447.31,468.64,516.72,442.62,,-4.69%,110.27K
229,"Aug 16, 2021",469.34,488.86,529.29,468.13,,-3.98%,125.23K
230,"Aug 15, 2021",488.79,476.97,491.41,449.04,,2.44%,72.66K
231,"Aug 14, 2021",477.16,483.69,485.67,456.44,,-1.38%,56.75K
232,"Aug 13, 2021",483.82,453.87,484.41,450.11,,6.75%,41.36K
233,"Aug 12, 2021",453.24,467.78,481.68,440.23,,-3.16%,66.00K
234,"Aug 11, 2021",468.01,472.77,497.87,465.06,,-0.97%,68.31K
235,"Aug 10, 2021",472.58,466.94,484.76,459.59,,1.15%,41.72K
236,"Aug 09, 2021",467.22,467.39,487.31,445.00,,0.07%,43.88K
237,"Aug 08, 2021",466.90,507.29,512.56,456.68,,-8.03%,40.21K
238,"Aug 07, 2021",507.64,466.65,507.64,461.00,,8.86%,84.38K
239,"Aug 06, 2021",466.33,475.65,484.50,450.44,,-1.92%,57.08K
240,"Aug 05, 2021",475.44,464.81,495.00,436.80,,2.35%,132.51K
241,"Aug 04, 2021",464.52,396.63,472.38,391.20,,17.11%,103.32K
242,"Aug 03, 2021",396.65,407.87,408.45,385.52,,-2.61%,44.40K
243,"Aug 02, 2021",407.26,409.52,425.61,393.68,,-0.56%,66.29K
244,"Aug 01, 2021",409.55,406.01,424.96,392.71,,1.09%,56.20K
245,"Jul 31, 2021",405.14,404.28,409.68,393.29,,0.31%,37.39K
